# Step	AvgQ	AvgP
209	-0.0529687	0.0609952
210	-0.0529687	-0.0318078
211	-0.0514088	-0.028085
212	-0.0561489	0.0980768
213	-0.0561489	0.0419684
214	-0.0561489	0.0371185
215	-0.0563284	0.00696397
216	-0.0563284	-0.0021771
217	-0.0563284	-0.0545647
218	-0.0594526	0.0659886
219	-0.0569227	-0.0471343
220	-0.0569227	0.0281152
221	-0.0569227	-0.0636387
222	-0.0569227	-0.0149231
223	-0.0564608	-0.0058444
224	-0.058964	0.053551
225	-0.058964	-0.100451
226	-0.058964	-0.0548136
227	-0.0600532	0.0253649
228	-0.0658499	0.119768
229	-0.0628585	-0.0559997
230	-0.0628585	0.0079322
231	-0.0628585	-0.0507474
232	-0.0612191	-0.0290836
233	-0.0638711	0.0568173
234	-0.0638711	-0.0767129
235	-0.0652694	0.031853
236	-0.0699433	0.0975801
237	-0.0699433	0.0187837
238	-0.0699433	0.124311
239	-0.0717559	0.0405204
240	-0.0744599	0.0584908
241	-0.0792631	0.100723
242	-0.0803289	0.0261111
243	-0.0795605	-0.0105801
244	-0.0795605	0.0161802
245	-0.0795605	-0.00493821
246	-0.0725642	-0.135436
247	-0.0685386	-0.0763232
248	-0.0693091	0.0195523
249	-0.0721001	0.0600883
250	-0.0752386	0.0672193
251	-0.0752386	0.074838
252	-0.0779174	0.058196
253	-0.0757214	-0.0393352
254	-0.0732921	-0.0441425
255	-0.0732921	0.0630357
256	-0.0730598	-0.00025923
257	-0.0747911	0.0390772
258	-0.0747911	-0.0386101
259	-0.0747911	-0.0986976
260	-0.0747911	-0.0752847
261	-0.0722348	-0.0467446
262	-0.0722348	-0.00275836
263	-0.0722348	-0.0122224
264	-0.0722348	0.0128753
265	-0.0722348	0.0585635
266	-0.0722348	-0.0844898
267	-0.0722348	0.119729
268	-0.0722348	0.0106506
269	-0.0722348	-0.00405642
270	-0.0722437	0.0045096
271	-0.0797554	0.15487
272	-0.0797554	-0.0792201
273	-0.0797554	0.0253376
274	-0.0824655	0.0590929
275	-0.0785249	-0.0740238
276	-0.0785249	-0.014328
277	-0.0785249	-0.0564423
278	-0.0785249	-0.0215794
279	-0.0779365	-0.0070823
280	-0.0779365	0.00456492
281	-0.0779365	0.0614334
282	-0.0744936	-0.0643224
283	-0.0744936	-0.087425
284	-0.0744936	-0.0199483
285	-0.0744936	-0.0266856
286	-0.0734706	-0.0160343
287	-0.072734	-0.0103568
288	-0.0746316	0.0423907
289	-0.0775017	0.0619938
290	-0.079673	0.0481611
291	-0.0753993	-0.0808674
292	-0.0775046	0.0467119
293	-0.0804013	0.0626979
294	-0.0782762	-0.0377659
295	-0.0782762	-0.0663376
296	-0.0782762	-0.0788174
297	-0.0757466	-0.0459985
298	-0.0757466	-0.0399813
299	-0.0757466	0.0130387
300	-0.0757466	0.00837273
301	-0.0757466	-0.0468486
302	-0.0690206	-0.130248
303	-0.0690206	0.0248535
304	-0.0690206	-0.0532891
305	-0.0665794	-0.0447832
306	-0.0665794	-0.107045
307	-0.0735441	0.143566
308	-0.0735441	0.0934949
309	-0.0735441	-0.00599127
310	-0.0669702	-0.127332
311	-0.0693935	0.0525801
312	-0.0685726	-0.0122894
313	-0.0665393	-0.0366357
314	-0.0665393	-0.0822811
315	-0.0665393	-0.144941
316	-0.0671696	0.0166225
317	-0.0653711	-0.0320137
318	-0.0692321	0.0812939
319	-0.0692321	-0.0760279
320	-0.0634464	-0.111794
321	-0.0634464	-0.0319715
322	-0.0634464	-0.0315033
323	-0.0575986	-0.113387
324	-0.0547778	-0.0530735
325	-0.0547778	0.050333
326	-0.0529456	-0.0334337
327	-0.0508985	-0.0378478
328	-0.0508985	-0.264782
329	-0.0508985	0.118256
